review_order,review_batch,priority_tier,nct_id,brief_title,screening_basis,verification_focus,registry_url,human_screening,human_screening_reason,needs_deeper_review
41,B03,2_dual_model_agreement,NCT04128488,Effects of Gender-Affirming Hormone Therapy Among Transgender Women,Flash likely_include + Sol agree_likely_include,Confirm both protocol gates from the registry record: explicit TGD population and explicit GAHT research role.,https://clinicaltrials.gov/study/NCT04128488,include,Cardiometabolic outcomes are measured before and after GAHT in transgender women.,
42,B03,2_dual_model_agreement,NCT04203381,Skeletal Health and Bone Marrow Composition Among Youth,Flash likely_include + Sol agree_likely_include,Confirm both protocol gates from the registry record: explicit TGD population and explicit GAHT research role.,https://clinicaltrials.gov/study/NCT04203381,exclude,Puberty-suppression-only study using a GnRH agonist with no explicit estradiol/testosterone GAHT research component.,
43,B03,2_dual_model_agreement,NCT04237467,Effects of Aging and Gender-Affirming Hormone Therapy on Vascular Endothelial Function and Metabolic Profiles in Transgender Men,Flash likely_include + Sol agree_likely_include,Confirm both protocol gates from the registry record: explicit TGD population and explicit GAHT research role.,https://clinicaltrials.gov/study/NCT04237467,include,Vascular and metabolic outcomes are studied in relation to testosterone GAHT in transgender men.,
44,B03,2_dual_model_agreement,NCT04254354,"Transgender Men, Non-binary Persons and Testosterone Treatment BODY IDENTITY CLINIC",Flash likely_include + Sol agree_likely_include,Confirm both protocol gates from the registry record: explicit TGD population and explicit GAHT research role.,https://clinicaltrials.gov/study/NCT04254354,include,Physiologic outcomes are measured before and during testosterone treatment in a TGD population.,
45,B03,2_dual_model_agreement,NCT04283656,Evaluating Drug Interactions Between Doravirine With Estradiol and Spironolactone in Healthy Transgender Women,Flash likely_include + Sol agree_likely_include,Confirm both protocol gates from the registry record: explicit TGD population and explicit GAHT research role.,https://clinicaltrials.gov/study/NCT04283656,include,Estradiol/spironolactone are directly studied in an antiretroviral drug-interaction design.,
46,B03,2_dual_model_agreement,NCT04309760,Developmental Correlates and Hormone Therapy Effects in Gender Dysphoria,Flash likely_include + Sol agree_likely_include,Confirm both protocol gates from the registry record: explicit TGD population and explicit GAHT research role.,https://clinicaltrials.gov/study/NCT04309760,include,Brain-connectome outcomes are measured before and after hormone therapy initiation.,
47,B03,2_dual_model_agreement,NCT04321551,Hormone Secretion in Transgender Males,Flash likely_include + Sol agree_likely_include,Confirm both protocol gates from the registry record: explicit TGD population and explicit GAHT research role.,https://clinicaltrials.gov/study/NCT04321551,include,Exogenous testosterone effects on ovarian and hormone dynamics are directly studied.,
48,B03,2_dual_model_agreement,NCT04336891,Effect of Testosterone Treatment on Clitoral Arteries' Hemodynamic Parameters.,Flash likely_include + Sol agree_likely_include,Confirm both protocol gates from the registry record: explicit TGD population and explicit GAHT research role.,https://clinicaltrials.gov/study/NCT04336891,exclude,Registered population is cisgender women receiving testosterone for non-GAHT indications; criterion 1 fails.,
49,B03,2_dual_model_agreement,NCT04374708,Gender Identity and Own Body Perception,Flash likely_include + Sol agree_likely_include,Confirm both protocol gates from the registry record: explicit TGD population and explicit GAHT research role.,https://clinicaltrials.gov/study/NCT04374708,include,Body-perception and brain outcomes are compared before and after cross-sex hormone therapy.,
50,B03,2_dual_model_agreement,NCT04440722,Prospective Observational Study and Biobank CKIO,Flash likely_include + Sol agree_likely_include,Confirm both protocol gates from the registry record: explicit TGD population and explicit GAHT research role.,https://clinicaltrials.gov/study/NCT04440722,include,"Hormone levels, safety measures, and clinical outcomes are followed before and after GAHT.",
